hsc_trust,quarter_end,accident_emergency,anaesthetics,audiological,cardiac_surgery,cardiology,chemical_pathology,clinical_genetics,clinical_neuro-physiology,clinical_oncology,dental_medicine_specialties,dermatology,ent,endocrinology,gastroenterology,general_medicine,general_surgery,genito-urinary_medicine,geriatric_medicine,gynaecology,haematology_clinical,joint_consultant_clinics,learning_disability,medical_oncology,nephrology,neurology,neurosurgery,old_age_psychiatry,ophthalmology,oral_surgery,orthodontics,paediatric_dentistry,paediatric_neurology,paediatric_surgery,paediatrics,pain_management,palliative_medicine,plastic_surgery,radiology,rehabilitation,restorative_dentistry,rheumatology,t_o_surgery,thoracic_medicine,thoracic_surgery,urology
Belfast,12-2013,0,0,0,92,2187,1,725,0,210,451,937,3949,503,2293,837,4820,0,662,2747,142,0,36,55,214,2145,515,263,6759,249,135,246,137,637,1586,422,4,195,0,30,1318,1581,9381,1445,98,1997
Belfast,12-2014,0,0,0,50,2644,0,779,0,187,493,2209,5028,512,4019,1752,7999,0,573,3398,218,142,56,53,227,4137,791,249,8482,583,90,441,166,819,2524,333,8,173,0,37,1651,2035,14505,1650,71,2842
Belfast,12-2015,0,0,0,71,2984,0,665,0,151,486,2129,6795,529,5249,2596,9460,0,593,4658,197,188,60,53,277,5363,732,323,11251,398,147,380,175,363,3228,1120,6,118,0,35,1611,2806,23653,2153,36,3695
Belfast,12-2016,0,0,0,82,2865,1,626,0,105,488,3325,7108,608,3134,3499,8635,0,889,4769,190,167,53,84,260,4686,651,312,11058,273,77,396,146,397,3381,1942,10,80,0,47,1675,2780,23570,2106,69,4321
Belfast,3-2014,0,0,0,64,2262,4,757,0,205,505,1297,4193,590,2608,918,5858,0,423,2688,184,1,38,40,204,2550,533,229,6812,503,142,332,155,624,1973,437,13,197,0,28,1257,1459,10356,1518,97,2153
Belfast,3-2015,0,0,0,53,2644,0,828,0,118,547,1816,5687,498,4595,1940,8043,0,610,4017,214,113,75,57,295,4556,824,247,9047,362,79,466,163,697,2508,548,10,160,0,34,1866,2304,17376,1767,44,2972
Belfast,3-2016,0,0,0,64,3180,0,609,0,131,340,2208,6004,473,2877,2742,8470,0,789,4006,192,169,44,62,290,5014,606,298,9487,342,118,396,126,430,3579,1405,3,104,0,45,1702,1886,23129,1915,32,4017
Belfast,3-2017,0,0,12,92,3001,0,704,2,188,577,3285,7563,575,3161,3512,8460,0,926,4862,257,139,49,74,241,4718,518,238,11103,224,51,490,136,340,3550,2124,8,101,0,49,1734,2951,24241,1970,72,3892
Belfast,6-2014,0,0,0,39,2423,14,711,0,138,515,1925,4933,657,2996,1260,6881,0,555,3114,194,80,33,50,223,3093,660,259,9131,679,139,344,164,648,1939,457,6,168,0,34,1419,1672,8681,1608,132,2535
Belfast,6-2015,0,0,0,67,2863,0,805,0,147,714,2204,6248,425,4852,2251,8835,0,629,4411,216,253,45,53,319,4943,773,295,9694,379,123,408,152,454,2732,747,13,162,0,32,1840,2511,19987,1948,79,3150
Belfast,6-2016,0,0,0,69,2853,1,573,0,140,399,2990,6305,520,2817,2969,8332,0,882,4333,207,187,47,38,265,4435,566,296,9509,258,64,354,100,431,3556,1646,6,57,0,46,1642,2245,23752,2094,71,4253
Belfast,6-2017,0,0,0,92,3179,0,580,0,182,596,3729,7789,736,3031,3658,7822,0,1148,4910,217,143,51,68,203,4956,431,242,11101,210,66,377,150,267,4040,2168,13,100,0,48,1878,3241,23798,1733,55,3924
